seq,time,date.time,temp,light,oxy,oxy.mod,sat,,
101,1530458400,15:20:00,7.329611,936.3651,9.803127,9.761255,92.716393,,
102,1530458700,15:25:00,7.339188,861.2556,9.791458,9.761509,92.628061,,
103,1530459000,15:30:00,7.348762,741.0804,9.795567,9.761434,92.688967,,
104,1530459300,15:35:00,7.348762,766.1169,9.795567,9.761375,92.688967,,
105,1530459600,15:40:00,7.358335,981.4308,9.791792,9.761129,92.675273,,
106,1530459900,15:45:00,7.367906,1141.6644,9.795905,9.760699,92.736233,,
107,1530460200,15:50:00,7.387042,1542.2484,9.796248,9.759921,92.783536,,
108,1530460500,15:55:00,7.40617,1472.1462,9.796596,9.75869,92.830876,,
109,1530460800,16:00:00,7.40617,1472.1462,9.804491,9.757605,92.905688,,
110,1530461100,16:05:00,7.434849,3004.38,9.793184,9.756338,92.86457,,
111,1530461400,16:10:00,7.45396,6644.6871,9.785659,9.755826,92.837184,,
112,1530461700,16:15:00,7.473062,9959.5197,9.786025,9.755877,92.884614,,
113,1530462000,16:20:00,7.501703,6629.6652,9.782644,9.754106,92.918419,,
114,1530462300,16:25:00,7.530327,7631.1252,9.771397,9.752071,92.877386,,
115,1530462600,16:30:00,7.558935,3850.6137,9.775918,9.748325,92.986159,,
116,1530462900,16:35:00,7.587527,5087.4168,9.756833,9.744625,92.870276,,
117,1530463200,16:40:00,7.616102,4621.7379,9.769244,9.74044,93.054115,,
118,1530463500,16:45:00,7.654177,5848.5264,9.762198,9.736091,93.074507,,
119,1530463800,16:50:00,7.701731,11161.2717,9.759327,9.732602,93.156425,,
120,1530464100,16:55:00,7.730241,12608.3814,9.748181,9.729197,93.115497,,
121,1530464400,17:00:00,7.777724,26934.2667,9.75323,9.729331,93.272841,,
122,1530464700,17:05:00,7.815677,31115.3622,9.73842,9.729698,93.218317,,
123,1530465000,17:10:00,7.86308,18657.1998,9.727812,9.724861,93.225485,,
124,1530465300,17:15:00,7.900971,16348.8345,9.720924,9.71885,93.246333,,
125,1530465600,17:20:00,7.938833,40218.6336,9.706223,9.719911,93.191999,,
126,1530465900,17:25:00,7.995575,43097.8311,9.707726,9.720169,93.336399,,
127,1530466200,17:30:00,8.052254,18627.156,9.709279,9.711258,93.481225,,
128,1530466500,17:35:00,8.108871,7250.5704,9.67956,9.698346,93.324493,,
129,1530466800,17:40:00,8.146582,4997.2854,9.680645,9.685269,93.421182,,
130,1530467100,17:45:00,8.174847,3980.8035,9.661944,9.672693,93.30523,,
131,1530467400,17:50:00,8.203097,13770.075,9.674495,9.663904,93.491016,,
132,1530467700,17:55:00,8.221922,5272.6869,9.682881,9.653041,93.615134,,
133,1530468000,18:00:00,8.297153,2148.1317,9.646146,9.64047,93.431531,,
134,1530468300,18:05:00,8.362893,2303.358,9.644329,9.627681,93.563886,,
135,1530468600,18:10:00,8.428551,3935.7378,9.634782,9.615163,93.620949,,
136,1530468900,18:15:00,8.484765,2303.358,9.628877,9.602136,93.691695,,
137,1530469200,18:20:00,8.54092,4741.9131,9.607465,9.589929,93.611102,,
138,1530469500,18:25:00,8.578325,2168.1609,9.601001,9.577406,93.633185,,
139,1530469800,18:30:00,8.625043,1962.8616,9.598775,9.565088,93.717724,,
140,1530470100,18:35:00,8.653055,6624.6579,9.595901,9.554971,93.753366,,
141,1530470400,18:40:00,8.709035,4586.6868,9.57468,9.543945,93.673092,,
142,1530470700,18:45:00,8.755641,4426.4532,9.580293,9.532963,93.833884,,
143,1530471000,18:50:00,8.811516,2027.9565,9.543716,9.521078,93.602124,,
144,1530471300,18:55:00,8.830128,2718.9639,9.528992,9.510378,93.499795,,
145,1530471600,19:00:00,8.867334,9694.1328,9.538147,9.502155,93.67384,,
146,1530471900,19:05:00,8.96952,1702.482,9.515204,9.489695,93.679359,,
147,1530472200,19:10:00,9.006632,1647.4017,9.50131,9.477765,93.626321,,
148,1530472500,19:15:00,9.071519,1361.9856,9.492448,9.465472,93.685337,,
149,1530472800,19:20:00,9.108563,1251.825,9.46329,9.453679,93.480881,,
150,1530473100,19:25:00,9.145583,1221.7812,9.464854,9.442352,93.579627,,
151,1530473400,19:30:00,9.293419,1226.7885,9.448309,9.428423,93.748296,,
152,1530473700,19:35:00,9.385623,1316.9199,9.429524,9.41377,93.768871,,
153,1530474000,19:40:00,9.459279,1281.8688,9.402391,9.398957,93.663997,,
154,1530474300,19:45:00,9.523651,1226.7885,9.378766,9.384257,93.572502,,
155,1530474600,19:50:00,9.578771,1211.7666,9.373795,9.369926,93.646061,,
156,1530474900,19:55:00,9.606311,1462.1316,9.363727,9.356752,93.606963,,
157,1530475200,20:00:00,9.652182,1296.8907,9.369768,9.343965,93.769849,,
158,1530475500,20:05:00,9.698018,1231.7958,9.345459,9.33155,93.628752,,
159,1530475800,20:10:00,9.734661,1246.8177,9.354879,9.319737,93.804918,,
160,1530476100,20:15:00,9.688854,1251.825,9.333639,9.310681,93.489926,,
161,1530476400,20:20:00,9.643011,1251.825,9.335176,9.304024,93.403244,,
162,1530476700,20:25:00,9.652182,1286.8761,9.331838,9.297981,93.390257,,
163,1530477000,20:30:00,9.716343,1346.9637,9.331216,9.291001,93.526854,,
164,1530477300,20:35:00,9.881008,1387.0221,9.309339,9.280482,93.673522,,
165,1530477600,20:40:00,9.853595,1442.1024,9.266464,9.272076,93.181434,,
166,1530477900,20:45:00,9.871872,1517.2119,9.237374,9.264283,92.929231,,
167,1530478200,20:50:00,9.908408,1627.3725,9.239249,9.256544,93.028723,,
168,1530478500,20:55:00,9.954047,1862.7156,9.230378,9.248646,93.040049,,
169,1530478800,21:00:00,10.017884,1692.4674,9.23749,9.239996,93.25267,,
170,1530479100,21:05:00,10.072548,2188.1901,9.21046,9.231146,93.100174,,
171,1530479400,21:10:00,10.136261,4576.6722,9.195227,9.222466,93.086314,,
172,1530479700,21:15:00,10.190819,12928.8486,9.205697,9.216029,93.312468,,
173,1530480000,21:20:00,10.24533,17450.4405,9.163966,9.210359,93.009021,,
174,1530480300,21:25:00,10.299792,16153.5498,9.159579,9.203558,93.083925,,
175,1530480600,21:30:00,10.345141,3695.3874,9.150996,9.192567,93.096082,,
176,1530480900,21:35:00,10.399517,2413.5186,9.139253,9.181151,93.095664,,
177,1530481200,21:40:00,10.426687,2203.212,9.107463,9.170434,92.831131,,
178,1530481500,21:45:00,10.462896,5432.9205,9.12438,9.161148,93.082742,,
179,1530481800,21:50:00,10.589465,3374.9202,9.102241,9.149036,93.133123,,
180,1530482100,21:55:00,10.616554,2243.2704,9.085384,9.137441,93.019682,,
181,1530482400,22:00:00,10.679718,1912.7886,9.092913,9.125574,93.234579,,
