basin,stream,season,yr,season.yr,basin.stream,basin.season.yr,basin.stream.season.yr,n,w,elev,aspect,from.north,percent.south,slope,bf,pebble,width,depth,velocity.mean,discharge,carbon,ammonia,nitrate,din,din.out,cn.ratio,phosphate,canopy,canopy.cat,par.integrative,par.mean,par.max,temp.max,temp.min,temp.min.cat,temp.mean,k600.lit,r2.lit,gpp.lit,er.lit,neglogl.lit,pr.lit,k600.my,r2.my,gpp.my,er.my,neglogl.my,pr.my,r2.lit.5,gpp.lit.5,er.lit.5,neglogl.lit.5,pr.lit.5,r2.my.5,gpp.my.5,er.my.5,neglogl.my.5,pr.my.5,k600.model,r2.model,gpp.model,er.model,neglogl.model,pr.model,sculp.mass.m,cut.capt,cut.pop,cut.pop.se,cut.pop.dens,cut.pop.dens.se,cut.ln,cut.ln.se,cut.mass,cut.mass.se,cut.mass.m,cut.mass.m.er,cut.mass.m2,cut.mass.m2.er
swauk,blue,sum,B18,3sum18,swauk.blue,swauk.sum.18,swauk.blue.sum.18,47.296801,120.705743,869,120,120,67,3,5.2,35.5,1,0.054,0.214,12.2,0.51,-0.0097535,0.0085515,0.0171859,0.0171859,29.7,0.0206144,23.4,c.closed,1.6454489,5713.4,60478.2,11.41,7.51,te.lo,9.66,80.76805068,0.99,0.03000241,-4.830199,-1022.464,0.006211423,64.49754,0.9904,0.01569558,-3.852349,-1033.493,0.004074288,0.99,0.03000241,-4.830199,-1022.464,0.006211423,0.9904,0.01569558,-3.852349,-1033.493,0.004074288,64.49754,0.9904,0.01569567,-3.852347,-1033.493,0.004074314,0.12,0.555555556,16.2,3.219937888,0.648,0.128797516,90.07692308,8.0546702,10.9,3.448559714,7.0632,1.403892924,7.0632,1.403892924
taneum,first,sum,B18,3sum18,taneum.first,taneum.sum.18,taneum.first.sum.18,47.114618,120.946155,880,155,155,86,5,5.07,42,0.45,0.04,0.13,1.2,8.16,-0.0103038,0.0085704,0.0166545,0.0166545,490,0.0609673,22.4,c.closed,1.0669254,3704.6,50673.9,11.08,9.22,te.hi,10.19,118.9953569,0.9791,0.03178197,-5.0946,-1211.632,0.006238364,31.57419193,NA,NA,NA,NA,NA,0.9791,0.03178197,-5.0946,-1211.632,0.006238364,NA,NA,NA,NA,NA,19.71902,0.9868,-0.009748678,-0.8412089,-1327.791,-0.011588891,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
taneum,frost,sum,B18,3sum18,taneum.frost,taneum.sum.18,taneum.frost.sum.18,47.102939,120.950163,904,328,32,18,10,12.74,60,1.2,0.072,0.116,9.6,13.27,-0.0109255,0.0082679,0.0157303,0.0157303,843.6,0.0419804,26,c.closed,2.2312729,7747.5,68241.7,13.58,8.91,te.hi,10.89,212.3781593,0.9561,0.2571658,-15.56673,-877.4547,0.01652022,46.46937,0.9709,0.02899511,-3.398502,-970.4244,0.008531733,0.9561,0.2571658,-15.56673,-877.4547,0.01652022,0.9709,0.02899511,-3.398502,-970.4244,0.008531733,46.46937,0.9709,0.02899129,-3.398502,-970.4244,0.008530608,1.64,1,8,0,0.32,0,72.125,4.010866935,4.3375,0.822004844,1.388,0,1.156666667,0
swauk,hovey,sum,B18,3sum18,swauk.hovey,swauk.sum.18,swauk.hovey.sum.18,47.318852,120.695241,905,108,108,60,6,3.44,62,0.7,0.054,0.152,10.9,7.68,-0.009647,0.0083529,0.0170938,0.0170938,449.3,0.0250692,29.9,c.open,1.7173221,5962.9,60433.1,10.95,8,te.lo,9.64,137.8831073,0.9738,0.1221197,-9.935696,-915.732,0.012291006,43.1626,0.9855,0.00854978,-3.087594,-993.1231,0.002769075,0.9738,0.1221197,-9.935696,-915.732,0.012291006,0.9855,0.00854978,-3.087594,-993.1231,0.002769075,43.1626,0.9855,0.00854998,-3.087596,-993.1231,0.002769138,0,0.777777778,11.57142857,0.971908645,0.462857143,0.038876346,90.45454545,3.467678386,8.336363636,0.96824797,3.858545455,0.324087357,5.512207793,0.462981939
swauk,hurley,sum,B18,3sum18,swauk.hurley,swauk.sum.18,swauk.hurley.sum.18,47.321212,120.674011,932,302,58,32,3,3.32,66,0.8,0.056,0.036,1.7,11.09,-0.0102217,0.008881,0.0170472,0.0170472,650.5,0.0253772,40.4,c.open,0.8967503,3113.7,44626.3,10.63,7.26,te.lo,8.97,80.76805068,0.9685,0.2896283,-5.81009,-872.4029,0.049849193,27.39353,0.9837,0.05286206,-1.938316,-1015.51,0.027272158,0.9685,0.2896283,-5.81009,-872.4029,0.049849193,0.9837,0.05286206,-1.938316,-1015.51,0.027272158,27.39353,0.9837,0.05285394,-1.938312,-1015.51,0.027268025,0,0.833333333,7.2,0.536656315,0.288,0.021466253,84.57142857,5.489631538,7.1,1.41286605,2.0448,0.152410396,2.556,0.190512995
swauk,iron,sum,B18,3sum18,swauk.iron,swauk.sum.18,swauk.iron.sum.18,47.336689,120.693441,950,139,139,77,2,5.16,43.5,1.35,0.108,0.182,28.5,8.94,-0.0111024,0.0087862,0.0160717,0.0160717,556.3,0.0176997,10.7,c.closed,0.2629984,913.2,27590.2,9.18,6.77,te.lo,7.93,61.35297862,0.97,0.1028571,-7.508138,-1109.709,0.013699415,28.13517,0.9869,0.01573622,-3.417878,-1313.374,0.004604091,0.97,0.1028571,-7.508138,-1109.709,0.013699415,0.9869,0.01573622,-3.417878,-1313.374,0.004604091,28.13517,0.9869,0.01573102,-3.417874,-1313.374,0.004602575,0,0.769230769,16.9,1.233288287,0.676,0.049331531,80.6875,3.730190735,6.1125,0.936521712,4.13205,0.301538983,3.060777778,0.22336221
teanaway,jack,sum,B18,3sum18,teanaway.jack,teanaway.sum.18,teanaway.jack.sum.18,47.3475,120.782771,954,225,135,75,3,3.62,68.5,2,0.094,0.044,8.9,10.74,-0.0123252,0.0085704,0.0146331,0.0146331,734,0.0233015,55.5,c.open,1.0983069,3813.6,67262.4,11.3,7.84,te.lo,9.05,80.76805068,0.8755,0.218827,-8.654779,-735.2595,0.02528395,27.6637317,0.8916,0.04982102,-2.942892,-784.996,0.016929272,0.8755,0.218827,-8.654779,-735.2595,0.02528395,0.8916,0.04982102,-2.942892,-784.996,0.016929272,11.08578,0.889,-0.02658305,-1.145188,-793.3914,-0.023212826,5.17,0.5,12,3.464101615,0.48,0.138564065,114.5555556,17.83108328,27.92222222,11.02902456,13.40266667,3.869016615,6.701333335,1.934508308
teanaway,miller,sum,B18,3sum18,teanaway.miller,teanaway.sum.18,teanaway.miller.sum.18,47.368323,120.78448,981,170,170,94,5,6.08,55,2.2,0.112,0.238,65.5,4.6,-0.010771,0.0094424,0.0170593,0.0170593,269.6,0.013808,6.8,c.closed,0.2789166,968.5,32647.6,9.35,6.95,te.lo,8.16,118.9953569,0.9934,0.03923781,-12.59161,-1350.096,0.003116187,36.77448611,NA,NA,NA,NA,NA,0.9934,0.03923781,-12.59161,-1350.096,0.003116187,NA,NA,NA,NA,NA,114.9401,0.9934,0.03617598,-12.16077,-1350.283,0.00297481,0.5,0.857142857,8.166666667,0.476289672,0.326666667,0.019051587,105,5.922113522,13.2625,2.353336347,4.332416667,0.252671673,1.969280303,0.11485076
teanaway,standup,sum,B18,3sum18,teanaway.standup,teanaway.sum.18,teanaway.standup.sum.18,47.356182,120.836047,871,152,152,84,8,4.42,92,2.2,0.114,0.176,42.2,5.2,-0.011078,0.0086581,0.015968,0.015968,325.7,0.0150953,19.3,c.closed,1.1441841,3972.9,61668.8,11.15,7.5,te.lo,9.3,175.3155467,0.9858,0.3515148,-21.08111,-1029.647,0.016674397,48.85441,0.9927,0.02873697,-5.817856,-1190.676,0.004939443,0.9858,0.3515148,-21.08111,-1029.647,0.016674397,0.9927,0.02873697,-5.817856,-1190.676,0.004939443,48.85441,0.9927,0.02872749,-5.81785,-1190.676,0.004937819,7.91,0.3,33.33333333,13.47150628,1.333333333,0.538860251,83,3.876778529,6.747058824,1.027171933,8.996078431,3.635721811,4.08912656,1.652600823
swauk,swauk,sum,B18,3sum18,swauk.swauk,swauk.sum.18,swauk.swauk.sum.18,47.331107,120.614636,1071,289,71,39,4,4.82,39,1.05,0.05,0.608,34.2,6.93,-0.0092394,0.008606,0.0177545,0.0177545,390.3,0.0490258,26.8,c.open,0.5608226,1947.3,43097.8,10.69,7.31,te.lo,8.87,99.96696333,0.978,0.05736587,-5.465705,-978.0196,0.010495603,44.01346,0.991,0.01703128,-2.39529,-1117.784,0.007110321,0.978,0.05736587,-5.465705,-978.0196,0.010495603,0.991,0.01703128,-2.39529,-1117.784,0.007110321,44.01346,0.991,0.01702861,-2.395288,-1117.784,0.007109212,0,0.8,18.75,1.082531755,0.75,0.04330127,95.33333333,3.652378579,10.50555556,1.249352047,7.879166667,0.454903898,7.503968254,0.433241808
